,speed,acceleration,angle,smooth,Id1,longitude,latitude,difTempsSec,moyenT,DebFin
7304,2.79999995231628,-0.07227999734878568,196.96082015488582,3.1666665871938062,1813,2.347717,48.890263,5.0,2,0
7305,3.4000000953674303,0.03336000795364395,196.95996011903514,3.43333331743876,1813,2.3476169999999996,48.890289,5.0,2,0
7306,6.199999809265139,0.031771426677703836,197.02286131706444,4.199999888738,1814,2.3495369999999998,48.889571000000004,35.0,1,0
7307,4.0,0.10564000530242912,197.0355468792013,4.099999904632569,1815,2.349739,48.889608,5.0,1,0
7308,4.0,0.0,197.03465011247508,3.3666666348775234,1815,2.349914,48.88956500000001,5.0,1,0
7309,12.3999996185303,0.4670399787902848,197.0374705562301,6.799999872843434,1815,2.3500330000000003,48.889323,5.0,1,0
7310,2.2999999523162797,0.011120002651214293,196.96345181018054,2.199999968210857,1816,2.34803,48.890506,5.0,2,0
7311,2.5999999046325697,0.01667999734878569,196.96184140559967,2.333333253860473,1816,2.347954,48.890476,5.0,2,0
7312,2.09999990463257,-0.02779999999999998,196.9611674143636,2.3333332538604736,1816,2.347862,48.890492,5.0,2,0
7313,2.5,0.02224000530242911,196.95744626131162,2.3999999364217133,1816,2.347782,48.89047,5.0,2,0
7314,10.0,0.0,0.0,10.0,1817,2.341856,48.828598,28046433.0,3,0
7315,14.0,0.2224,198.39406714867744,12.0,1817,2.341895,48.828303999999996,5.0,3,0
7316,6.400000095367429,-0.4225599946975709,198.41023467506145,10.133333365122477,1817,2.341729,48.828178,5.0,3,0
7317,6.599999904632571,0.011119989395141873,198.40678397006013,9.0,1817,2.34176,48.828006,5.0,3,0
7318,3.4000000953674303,-0.1779199893951418,198.4132705433304,5.4666666984558105,1817,2.341791,48.827858,5.0,3,0
7319,9.60000038146973,0.3447200159072879,198.4128797132021,6.53333346048991,1817,2.341857,48.827591,5.0,3,0
7320,6.099999904632571,-0.19460002651214608,198.4238887272645,6.366666793823245,1817,2.34186,48.827371,5.0,3,0
7321,3.79999995231628,-0.12787999734878575,198.43172253526882,6.5000000794728585,1817,2.3417830000000004,48.827195,5.0,3,0
7322,11.8000001907349,0.4448000132560753,198.43327432004745,7.233333349227919,1817,2.341812,48.826999,5.0,3,0
7323,9.5,-0.12788001060486048,198.43610261328774,8.366666714350393,1817,2.341846,48.826731,5.0,3,1
7324,5.1999998092651385,-0.2390800106048583,198.44904302910388,8.833333333333346,1817,2.341764,48.826572999999996,5.0,3,1
7325,10.6999998092651,0.30579999999999785,198.4500587060056,8.46666653951008,1817,2.341593,48.826397,5.0,3,0
7326,8.60000038146973,-0.11675996818542254,198.448803100582,8.166666666666654,1817,2.341386,48.826199,5.0,3,0
