,Unnamed: 0,sampno,longitude,latitude,altitude,speed,smooth,acceleration1000,acceleration,angle,moyenT,difTempsSec,Id,Id1
797,53837,5771285,2.30093,48.832544,256.20001220703097,3.70000004768372,8.566666682561227,0.20016000795364347,-0.20016000795364347,197.13235533293687,3,5.0,718,143
798,53838,5771285,2.300711,48.832648,253.899993896484,5.3000001907348615,5.4333334763844805,0.04448000397682175,0.04448000397682175,197.12423300050025,3,10.0,718,143
799,53839,5771285,2.300292,48.832772,254.699996948242,15.8999996185303,8.299999952316293,0.5893599681854266,0.5893599681854266,197.1158438785062,3,5.0,718,143
800,53840,5771285,2.299847,48.833001,257.600006103516,14.5,11.899999936421725,0.07783997879028473,-0.07783997879028473,197.10415715693455,3,5.0,718,143
801,53841,5771285,2.299609,48.833191,262.100006103516,6.599999904632571,12.333333174387622,0.4392400053024291,-0.4392400053024291,197.08378818749497,3,5.0,718,143
802,53842,5771285,2.29951,48.83332,265.600006103516,2.70000004768372,7.9333333174387635,0.21683999204635607,-0.21683999204635607,197.06968035033185,3,5.0,718,143
803,53873,5771285,2.292611,48.82767800000001,308.399993896484,13.3000001907349,10.833333333333332,0.07783997879027912,-0.07783997879027912,197.01189499385453,3,5.0,720,144
804,53874,5771285,2.29233,48.82748,308.20001220703097,10.0,12.666666666666664,0.1834800106048605,-0.1834800106048605,197.00268872063359,3,5.0,720,144
805,53875,5771285,2.29229,48.827398,303.899993896484,2.29999995231628,8.533333381017059,0.4281200026512149,-0.4281200026512149,197.00424983346443,3,5.0,720,144
806,53876,5771285,2.292253,48.827395,301.29998779296903,2.29999995231628,4.86666663487752,0.0,0.0,197.0082756624356,3,5.0,720,144
807,53877,5771285,2.292294,48.827322,299.399993896484,2.79999995231628,2.4666666189829467,0.0278,0.0278,197.00463650435242,3,5.0,720,144
808,53878,5771285,2.292346,48.827117,301.70001220703097,15.8999996185303,6.9999998410542865,0.7283599814414996,0.7283599814414996,197.0027503091629,3,5.0,720,144
809,53879,5771285,2.292375,48.826754,303.70001220703097,15.8999996185303,11.533333063125625,0.0,0.0,197.00365983133702,3,5.0,720,144
810,53880,5771285,2.292392,48.826476,309.899993896484,11.8000001907349,14.5333331425985,0.2279599681854244,-0.2279599681854244,197.0173873352484,3,5.0,720,144
811,53881,5771285,2.292403,48.82632,315.399993896484,6.800000190734861,11.50000000000002,0.2780000000000022,-0.2780000000000022,197.02996786235556,3,5.0,720,144
812,53882,5771285,2.29246,48.826118,319.70001220703097,4.6999998092651385,7.766666730244966,0.11676002120971656,-0.11676002120971656,197.03266140287928,3,5.0,720,144
813,53883,5771285,2.2925,48.826058,326.5,2.79999995231628,4.766666650772093,0.10563999204635653,-0.10563999204635653,197.04518247463403,3,5.0,720,144
814,54152,5771285,2.293867,48.825393,271.79998779296903,2.09999990463257,3.333333333333333,0.05143000397682185,-0.05143000397682185,197.0937752449561,2,20.0,724,145
815,54999,5771285,2.294275,48.825045,309.29998779296903,2.4000000953674303,2.566666762034097,0.0,0.0,197.09720167991054,2,45.0,729,146
816,55162,5771285,2.302973,48.836205,257.29998779296903,2.29999995231628,2.3666666348775234,0.005559994697570336,0.005559994697570336,197.0836416218243,2,5.0,732,147
817,55226,5771285,2.303939,48.843134,290.399993896484,17.5,15.533333142598467,0.17236002120971533,0.17236002120971533,196.93953868381448,3,5.0,735,148
818,55227,5771285,2.303368,48.84303900000001,291.20001220703097,17.2999992370605,16.399999618530266,0.01112004241943616,-0.01112004241943616,196.92303947098083,3,5.0,735,148
819,55228,5771285,2.302869,48.842925,293.0,8.0,14.2666664123535,0.5170799575805638,-0.5170799575805638,196.90847000440124,3,5.0,735,148
820,55229,5771285,2.302781,48.842864,292.5,2.2000000476837203,9.166666428248071,0.3224799973487852,-0.3224799973487852,196.89868969303268,3,5.0,735,148
821,55230,5771285,2.302813,48.842716,293.100006103516,4.8000001907348615,5.00000007947286,0.1445600079536435,0.1445600079536435,196.89509625166667,3,5.0,735,148
822,55231,5771285,2.3027990000000003,48.842567,289.70001220703097,3.70000004768372,3.5666667620341004,0.015290001988410871,-0.015290001988410871,196.89990631592443,3,20.0,735,148
823,55232,5771285,2.302944,48.842315,289.5,11.1999998092651,6.566666682561227,0.4169999867439248,0.4169999867439248,196.90026633773468,3,5.0,735,148
824,55233,5771285,2.30318,48.841951,290.399993896484,17.7999992370605,10.899999698003109,0.3669599681854243,0.3669599681854243,196.90763098303955,3,5.0,735,148
825,55234,5771285,2.303448,48.841541,290.100006103516,20.3999996185303,16.46666622161863,0.1445600212097208,0.1445600212097208,196.9225973865365,3,5.0,735,148
826,55310,5771285,2.292939,48.828007,370.899993896484,2.2000000476837203,4.866666793823233,0.0007942849567957622,-0.0007942849567957622,197.00817410195873,3,35.0,737,149
827,55311,5771285,2.292776,48.827881,368.899993896484,15.5,6.666666666666666,0.7394799973487852,0.7394799973487852,197.00611086603504,3,5.0,737,149
828,55312,5771285,2.292369,48.827714,357.899993896484,15.6000003814697,11.10000014305114,0.005560021209715415,0.005560021209715415,197.0032183877737,3,5.0,737,149
829,55313,5771285,2.29218,48.827445,347.700012207031,12.8000001907349,14.633333524068199,0.15568001060485495,-0.15568001060485495,196.992066138502,3,5.0,737,149
830,55314,5771285,2.292254,48.827048,341.100006103516,22.5,16.966666857401528,0.5393199893951397,0.5393199893951397,196.98888975062573,3,5.0,737,149
831,55315,5771285,2.292303,48.826572,337.0,25.7999992370605,20.3666664759318,0.18347995758056385,0.18347995758056385,196.99850147894313,3,5.0,737,149
832,55316,5771285,2.292385,48.826176,332.79998779296903,18.5,22.2666664123535,0.40587995758056383,-0.40587995758056383,197.01558926406207,3,5.0,737,149
833,55317,5771285,2.292338,48.825862,319.0,2.09999990463257,15.466666380564355,0.18236800106048584,-0.18236800106048584,197.0316273782805,3,25.0,737,149
834,55326,5771285,2.293637,48.82512,244.899993896484,4.8000001907348615,3.5333333810170497,0.030580003976821743,0.030580003976821743,197.0831466425726,2,10.0,739,150
835,55327,5771285,2.294061,48.8249,237.600006103516,4.099999904632569,4.200000047683717,0.012973338635762487,-0.012973338635762487,197.09945250041642,2,15.0,739,150
836,55394,5835798,2.3702080000000003,48.84562800000001,162.899993896484,2.4000000953674303,2.400000015894573,0.01667999734878569,-0.01667999734878569,198.77261791433284,2,5.0,743,151
