,speed,acceleration,angle,smooth,Id1,longitude,latitude,DebFin
0,12.1999998092651,-0.07784003181457573,186.27547206823934,13.600000063578264,0,2.078366,48.992353,0
1,13.3000001907349,0.06116002120972092,186.28703983209132,13.0333334604899,0,2.078768,48.992389,0
2,10.5,-0.15568001060486045,186.2993912096116,12.0,0,2.079054,48.992354,0
3,2.5,-0.4448,186.3080932283582,8.766666730244966,0,2.079243,48.992364,0
4,2.70000004768372,0.003336000795364393,186.3222968466193,2.2999999523162864,1,2.079572,48.992414000000004,0
5,6.0,0.1834799973487852,186.32219833707074,3.5999999841054287,1,2.079334,48.992409,0
6,6.0,0.0,186.31530713508218,4.900000015894573,1,2.079055,48.992399,0
7,12.8999996185303,0.3836399787902847,186.30419301789647,8.299999872843433,1,2.078807,48.992552,0
8,17.5,0.2557600212097153,186.29008267450274,12.133333206176767,1,2.0785400000000003,48.99283300000001,0
9,15.8999996185303,-0.0889600212097152,186.27395975292404,15.4333330790202,1,2.078259,48.993127,0
10,15.5,-0.02223997879028481,186.257594737462,16.299999872843433,1,2.0779970000000003,48.993404999999996,0
11,9.80000019073486,-0.31691998939514177,186.24307570324,13.733333269755054,1,2.077754,48.993623,0
12,15.8999996185303,-0.13899999999999987,186.26147704355458,17.4666665395101,2,2.077993,48.992349,0
13,13.0,-0.1612399787902848,186.2763223549732,15.766666412353532,2,2.078411,48.992367,0
14,13.1000003814697,0.0055600212097153285,186.28836847102585,14.0,2,2.0787720000000003,48.992383000000004,0
15,10.1999998092651,-0.16124003181457575,186.29870827586137,12.100000063578264,2,2.079144,48.9924,0
16,6.099999904632571,-0.22795999469756864,186.3091629186,9.80000003178912,2,2.079375,48.992428000000004,0
17,4.8000001907348615,-0.07227998409271262,186.31538703716086,7.033333301544178,2,2.0795369999999997,48.992451,0
18,5.400000095367429,0.03335999469757076,186.3194619526364,5.433333396911621,2,2.079725,48.992481,0
19,7.199999809265139,0.10007998409271272,186.32452916767244,5.800000031789143,2,2.079919,48.992496,0
20,5.800000190734861,-0.07783997879028352,186.32969321767655,6.133333365122478,2,2.0801119999999997,48.992523,0
21,4.19999980926514,-0.0889600212097165,186.33631509212432,5.733333269755048,2,2.080204,48.992464,0
22,3.5999999046325697,-0.033359994697570894,186.34122282004668,4.53333330154419,2,2.080298,48.992378,0
23,2.5999999046325697,0.001308234826256237,186.3420417154992,2.3333333333333366,3,2.080623,48.992507,0
24,5.800000190734861,0.1779200159072874,186.3504608061594,3.5333333810170497,3,2.080485,48.992534,0
25,5.5,-0.008340005302429131,186.34650289865863,4.633333365122477,3,2.080351,48.992511,0
26,7.800000190734861,0.12788001060485826,186.34311713015117,6.36666679382324,3,2.0800970000000003,48.992489,0
27,11.3000001907349,0.19460000000000227,186.33607406128576,8.200000127156589,3,2.07976,48.992470000000004,0
28,9.80000019073486,-0.08340000000000228,186.3272816386904,9.633333524068206,3,2.079339,48.99241,0
29,7.199999809265139,-0.14456002120971645,186.3157642925994,9.433333396911634,3,2.079037,48.992382,0
30,12.5,0.2946800106048583,186.30456007229736,9.833333333333332,3,2.078823,48.992512,0
31,14.8000001907349,0.12788001060486048,186.29278784959183,11.500000000000007,3,2.078589,48.99273400000001,0
32,2.2000000476837203,0.0,201.1512812415425,2.266666730244957,4,2.455975,48.849426,1
33,2.9000000953674303,0.038920002651214286,201.151373317574,2.433333396911624,4,2.4559990000000003,48.849313,1
34,4.40000009536743,0.08339999999999999,201.1557307400741,3.1666667461395264,4,2.455994,48.849216999999996,1
35,2.79999995231628,-0.08896000795364394,201.16065377545917,3.3666667143503797,4,2.455939,48.84918,0
36,5.3000001907348615,0.027800002651214628,201.1626943099923,4.166666746139524,4,2.455652,48.849204,0
37,11.1999998092651,0.3280399787902813,201.14681203065084,6.433333317438747,4,2.455451,48.849069,0
38,18.1000003814697,0.3836400318145759,201.1381621953268,11.533333460489885,4,2.455129,48.84879,0
39,20.1000003814697,0.1112,201.14468490427737,16.4666668574015,4,2.454552,48.848707,0
40,2.5,0.00555999469757087,200.7257206684243,2.43333339691162,5,2.4367970000000003,48.844731,1
41,2.70000004768372,0.0022240005302429644,200.72681496825953,2.5333333810170497,5,2.436783,48.844795,1
42,3.9000000953674303,0.0222400008837381,200.72001410972686,3.0333333810170497,5,2.436937,48.844752,1
43,17.6000003814697,-0.3002399787902846,200.3763528991725,20.166666666666664,6,2.425532,48.846564,0
44,9.39999961853027,-0.4559200424194324,200.3538461337788,16.666666666666654,6,2.425125,48.846638,0
45,4.19999980926514,-0.2891199893951413,200.33738829643028,10.399999936421704,6,2.42489,48.846646,0
46,2.2999999523162797,-0.02640999801158916,200.3285883896317,5.299999793370564,6,2.4248369999999997,48.846610999999996,0
47,12.3999996185303,0.5615599814414995,200.33169189411186,6.299999793370575,6,2.424583,48.846665,0
48,17.7000007629395,0.29468006362915145,200.3285309229319,10.800000111262024,6,2.424194,48.846853,0
49,20.6000003814697,0.16123997879027935,200.29737305415347,16.900000254313163,6,2.423559,48.846681,0
50,13.5,-0.3947600212097155,200.29367185826717,17.266667048136398,6,2.423013,48.846753,0
51,4.0,0.01111999933719636,200.71591874731564,3.6000000635782863,7,2.436334,48.844729,0
52,4.099999904632569,0.005559994697570847,200.7154281415396,3.4999999999999987,7,2.43673,48.844837,1
53,3.4000000953674303,-0.004864998674392715,200.71977667217755,3.833333333333333,7,2.4365740000000002,48.844848,0
54,2.2000000476837203,-0.06672000265121429,200.71423246579982,3.2333333492279066,7,2.4364619999999997,48.844842,0
