,sampno,longitude,latitude,altitude,speed,smooth,acceleration1000,acceleration,angle,moyenT,difTempsSec,StoopMoove,StopMoove1,Id
487056,8501505,2.313698,48.887467,284.5,8.300000190734862,13.866667111714685,0.18348001060485705,-0.18348001060485705,196.03100761343387,1,5.0,1,1,5650
487057,8501505,2.3137,48.88735,278.70001220703097,5.3000001907348615,8.400000254313142,0.16679999999999998,-0.16679999999999998,196.04037541262917,1,5.0,1,1,5650
487058,8501505,2.313739,48.88716,276.20001220703097,8.10000038146973,7.2333335876464835,0.15568001060485873,0.15568001060485873,196.04241657158923,1,5.0,1,1,5650
487059,8501505,2.313769,48.886931,274.0,10.6000003814697,8.00000031789143,0.1389999999999983,0.1389999999999983,196.0479311603732,1,5.0,1,1,5650
487093,8501505,2.313228,48.883435,219.199996948242,11.8999996185303,8.79999979337056,0.08432666357358326,0.08432666357358326,196.1355032625595,1,30.0,1,1,5654
487094,8501505,2.312953,48.88329,221.300003051758,9.69999980926514,8.133333126703906,0.12231998939514285,-0.12231998939514285,196.13155847791612,1,5.0,1,1,5654
487095,8501505,2.312578,48.883394,227.600006103516,16.7999992370605,12.799999554951981,0.394759968185422,0.394759968185422,196.13128162062802,1,5.0,1,1,5654
487096,8501505,2.312073,48.88372,224.300003051758,25.7999992370605,17.433332761128714,0.5004000000000002,0.5004000000000002,196.1211158372386,1,5.0,1,1,5654
487097,8501505,2.311563,48.884118,223.899993896484,22.600000381469695,21.733332951863567,0.17791993637084874,-0.17791993637084874,196.0989598496592,1,5.0,1,1,5654
487098,8501505,2.31122,48.884461,225.100006103516,19.0,22.466666539510065,0.2001600212097152,-0.2001600212097152,196.0728040825176,1,5.0,1,1,5654
487099,8501505,2.310875,48.88480300000001,225.800003051758,16.8999996185303,19.5,0.11676002120971525,-0.11676002120971525,196.05378899723587,1,5.0,1,1,5654
487501,8501505,2.523725,48.997528,388.600006103516,13.3000001907349,6.50000007947287,0.2780000066280377,0.2780000066280377,199.4517943284353,1,10.0,0,1,5658
487502,8501505,2.523321,48.997574,390.600006103516,12.8000001907349,9.800000111262026,0.027800000000000047,-0.027800000000000047,199.44649216600624,1,5.0,0,1,5658
487503,8501505,2.523274,48.997287,393.100006103516,16.2999992370605,14.133333206176767,0.19459994697570346,0.19459994697570346,199.4315581634248,1,5.0,0,1,5658
487504,8501505,2.523435,48.996899,396.200012207031,25.399999618530305,18.166666348775234,0.5059600212097211,0.5059600212097211,199.43650593131656,1,5.0,0,1,5658
487505,8501505,2.523495,48.996304,398.399993896484,30.100000381469695,23.933333079020173,0.26132004241942997,0.26132004241942997,199.44944416263354,1,5.0,1,1,5658
487506,8501505,2.523567,48.995665,405.200012207031,31.100000381469695,28.86666679382323,0.055600000000000094,0.055600000000000094,199.46525657288112,1,5.0,1,1,5658
487507,8501505,2.5236240000000003,48.99504500000001,406.700012207031,29.399999618530305,30.200000127156567,0.09452004241943007,-0.09452004241943007,199.48284444269063,1,5.0,1,1,5658
487508,8501505,2.523692,48.994485,402.700012207031,24.7999992370605,28.433333079020173,0.2557600212097212,-0.2557600212097212,199.49978171162437,1,5.0,1,1,5658
487509,8501505,2.523663,48.9941,401.700012207031,14.3999996185303,22.86666615804037,0.5782399787902792,-0.5782399787902792,199.51631155330472,1,5.0,1,1,5658
487510,8501505,2.523521,48.993827,398.5,14.8000001907349,17.999999682108566,0.0222400318145759,0.0222400318145759,199.5253934245544,1,5.0,1,1,5658
487511,8501505,2.523731,48.993433,394.899993896484,24.0,17.733333269755065,0.5115199893951395,0.5115199893951395,199.52701214415643,1,5.0,1,1,5658
487512,8501505,2.523739,48.993066,385.899993896484,14.1999998092651,17.666666666666664,0.5448800106048605,-0.5448800106048605,199.54288774307813,1,5.0,1,1,5658
