,Unnamed: 0,sampno,longitude,latitude,altitude,speed,smooth,acceleration1000,acceleration,angle,moyenT,difTempsSec,StoopMoove,StopMoove1,Id,Id1
3577,549595,8560935,2.185073,48.891822,280.20001220703097,44.5999984741211,44.9333330790202,0.03336012725830315,-0.03336012725830315,192.20279952825283,4,5.0,1,1,6423,775
3578,549596,8560935,2.183767,48.89144,265.899993896484,45.2999992370605,45.03333282470703,0.0389200424194307,0.0389200424194307,192.17809237505048,4,5.0,1,1,6423,775
3579,549597,8560935,2.182498,48.891065999999995,263.79998779296903,45.2000007629395,45.03333282470703,0.005559915161127549,-0.005559915161127549,192.15027630458823,4,5.0,1,1,6423,775
3580,549598,8560935,2.181299,48.89065,261.29998779296903,44.5,45.0,0.03892004241943638,-0.03892004241943638,192.1231759517317,4,5.0,1,1,6423,775
3581,549610,8560935,2.173475,48.887547,250.300003051758,3.20000004768372,2.466666618982953,0.006795556439293771,0.006795556439293771,191.93782513561013,3,45.0,1,1,6425,776
3582,549613,8560935,2.173793,48.88735,242.399993896484,3.0999999046325697,2.7333333492279057,0.01111998939514174,0.01111998939514174,191.96597299374423,3,5.0,1,1,6427,777
3583,549730,8560935,2.194599,48.872754,438.200012207031,12.3000001907349,8.000000158945731,0.4948400053024314,0.4948400053024314,192.95925221941718,3,5.0,0,1,6429,778
3584,549731,8560935,2.195074,48.872683,431.100006103516,10.1000003814697,8.60000022252401,0.12231998939514516,-0.12231998939514516,192.96701496029004,3,5.0,1,1,6429,778
3585,550111,8560935,2.196634,48.841187,456.0,28.100000381469695,26.0333334604899,0.2057200424194301,0.2057200424194301,193.8884767305132,1,5.0,1,1,6433,779
3586,550112,8560935,2.195832,48.841038,458.200012207031,25.5,26.0,0.14456002120971512,-0.14456002120971512,193.87197368453369,1,5.0,1,1,6433,779
3587,550113,8560935,2.195084,48.840914,456.700012207031,25.2999992370605,26.2999998728434,0.01112004241943616,-0.01112004241943616,193.8532993619824,1,5.0,1,1,6433,779
3588,550114,8560935,2.194433,48.840784,460.700012207031,17.6000003814697,22.7999998728434,0.4281199363708485,-0.4281199363708485,193.83489184373525,1,5.0,1,1,6433,779
3589,550115,8560935,2.193914,48.840664000000004,468.399993896484,16.2999992370605,19.733332951863567,0.07228006362915149,-0.07228006362915149,193.81977119176412,1,5.0,1,1,6433,779
3590,550418,8560935,2.175337,48.883456,213.399993896484,3.0999999046325697,10.966666380564355,0.4948400053024292,-0.4948400053024292,192.12803944737396,3,5.0,1,1,6440,780
3591,550419,8560935,2.175298,48.883482,215.100006103516,6.300000190734861,7.133333365122478,0.0593066719690958,0.0593066719690958,192.12016559782685,3,15.0,1,1,6440,780
3592,550420,8560935,2.175,48.883657,216.5,17.8999996185303,9.099999904632577,0.6449599681854263,0.6449599681854263,192.1189510359435,3,5.0,1,1,6440,780
3593,550421,8560935,2.1745240000000003,48.883928999999995,223.600006103516,20.6000003814697,14.93333339691162,0.1501200424194309,0.1501200424194309,192.10595104265983,3,5.0,1,1,6440,780
3594,550422,8560935,2.174057,48.884238,228.800003051758,22.100000381469695,20.200000127156567,0.08339999999999961,0.08339999999999961,192.0848945645821,3,5.0,1,1,6440,780
3595,550423,8560935,2.173552,48.884557,231.199996948242,23.600000381469695,22.100000381469695,0.08339999999999996,0.08339999999999996,192.06299081285562,3,5.0,1,1,6440,780
3596,550424,8560935,2.173033,48.884853,226.600006103516,20.8999996185303,22.200000127156557,0.15012004241943036,-0.15012004241943036,192.0395844929769,3,5.0,1,1,6440,780
3597,550425,8560935,2.172622,48.885104999999996,224.100006103516,16.2999992370605,20.26666641235349,0.2557600212097208,-0.2557600212097208,192.01631852652008,3,5.0,1,1,6440,780
3598,550426,8560935,2.172266,48.885314,221.600006103516,15.3999996185303,17.533332824707028,0.05003997879027917,-0.05003997879027917,191.99739717330934,3,5.0,1,1,6440,780
3599,550427,8560935,2.1720330000000003,48.88548400000001,224.0,7.400000095367429,13.033332983652745,0.4447999734878557,-0.4447999734878557,191.98125700089332,3,5.0,1,1,6440,780
3600,551267,8613672,2.24883,48.782919,693.599975585938,3.79999995231628,3.2666666507720934,0.0038920002651214322,0.0038920002651214322,196.95738979110752,1,50.0,0,0,6448,781
3601,551442,8613672,2.30424,48.818588,347.200012207031,11.6000003814697,12.900000254313133,0.2446399787902848,-0.2446399787902848,197.57154115517503,1,5.0,1,1,6450,782
3602,551443,8613672,2.304122,48.818332,346.200012207031,14.1000003814697,13.900000254313133,0.13900000000000007,0.13900000000000007,197.57711936354252,1,5.0,1,1,6450,782
3603,551444,8613672,2.303992,48.818045,346.899993896484,13.1999998092651,12.9666668574015,0.05004003181457577,-0.05004003181457577,197.57911828112216,1,5.0,1,1,6450,782
3604,551445,8613672,2.303807,48.81767,345.299987792969,17.1000003814697,14.800000190734833,0.21684003181457576,0.21684003181457576,197.57897556852947,1,5.0,1,1,6450,782
3605,551446,8613672,2.30367,48.817382,346.100006103516,7.800000190734861,12.700000127156553,0.5170800106048572,-0.5170800106048572,197.58759608285004,1,5.0,1,1,6450,782
3606,551447,8613672,2.303408,48.817438,349.100006103516,16.8999996185303,13.93333339691162,0.5059599681854265,0.5059599681854265,197.6071332981373,1,5.0,1,1,6450,782
3607,551448,8613672,2.303099,48.817596,351.799987792969,7.300000190734861,10.666666666666671,0.5337599681854265,-0.5337599681854265,197.60274234999432,1,5.0,1,1,6450,782
3608,551592,8613672,2.3024419999999997,48.817875,382.0,3.29999995231628,2.6999999682108564,0.03892000265121432,0.03892000265121432,197.5499277688676,1,5.0,1,1,6455,783
3609,551770,8613672,2.248757,48.782858000000004,682.700012207031,8.199999809265138,7.266666571299236,0.03891998939514174,0.03891998939514174,196.96642357586867,1,5.0,0,1,6458,784
3610,551771,8613672,2.248936,48.783034,678.0999755859381,10.1000003814697,8.600000063578278,0.10564003181457364,0.10564003181457364,196.97075672350846,1,5.0,0,1,6458,784
3611,552004,8613672,2.267085,48.801507,506.5,7.699999809265139,6.56666660308838,0.0963733297983806,0.0963733297983806,196.9920176737116,1,15.0,1,1,6464,785
3612,552005,8613672,2.2670369999999997,48.801671999999996,503.799987792969,10.0,6.733333269755048,0.12788001060485826,0.12788001060485826,196.98709808234486,1,5.0,1,1,6464,785
