,sampno,speed,acceleration,angle,smooth,Id1,longitude,latitude,difTempsSec,moyenT,altitude,StoopMoove,StopMoove1,DebFin
944,6508065,18.8999996185303,0.6004799575805677,194.82093133379544,12.433333396911642,225,2.2693060000000003,48.884146,5.0,1,228.800003051758,1,1,0
945,6508065,20.2000007629395,0.07228006362915149,194.8364910228984,15.733333587646507,225,2.269874,48.884079,5.0,1,232.399993896484,1,1,0
946,6508065,19.6000003814697,-0.03336002120972078,194.8540676562791,19.566666920979827,225,2.270478,48.883952,5.0,1,233.600006103516,1,1,0
947,6508065,11.3999996185303,-0.4559200424194307,194.87510404799218,17.06666692097983,225,2.2709900000000003,48.883835,5.0,1,236.899993896484,1,1,0
948,6508065,15.1999998092651,0.2112800106048548,194.89333466699063,15.3999999364217,225,2.271335,48.883739,5.0,1,252.300003051758,1,1,0
949,6508065,11.6000003814697,-0.2001599681854242,194.9063501567337,12.733333269755033,225,2.2717560000000003,48.88368,5.0,1,260.70001220703097,1,1,1
950,6508065,8.10000038146973,-0.19459999999999827,194.92047081505325,11.633333524068176,225,2.272078,48.883647,5.0,1,262.899993896484,1,1,1
951,6508065,8.199999809265138,0.3113599946975708,194.93819862226337,6.300000031789146,226,2.272508,48.883492,5.0,1,263.0,1,1,0
952,6508065,12.1000003814697,0.21684003181457365,194.94555562497283,7.633333365122469,226,2.272537,48.883317,5.0,1,262.899993896484,1,1,0
953,6508065,17.6000003814697,0.3058000000000001,194.94917622797058,12.63333352406818,226,2.272375,48.882995,5.0,1,262.5,1,1,0
954,6508065,15.3999996185303,-0.12232004241943065,194.9529032652631,15.0333334604899,226,2.272163,48.882671,5.0,1,262.600006103516,1,1,0
955,6508065,9.39999961853027,-0.0007571493418066312,194.9449419347152,14.133333206176758,227,2.271311,48.88154,2203.0,1,631.5999755859381,0,1,0
956,6508065,7.300000190734861,-0.11675996818542478,194.9626636597881,10.699999809265146,227,2.271214,48.881406,5.0,1,623.799987792969,1,1,0
957,6508065,17.7999992370605,0.5837999469757056,194.96654791115418,11.499999682108538,227,2.270849,48.88152,5.0,1,617.299987792969,1,1,0
958,6508065,4.30000019073486,-0.7505999469757058,194.95267407266988,9.799999872843406,227,2.270474,48.881615,5.0,1,607.0999755859381,1,1,0
959,6508065,12.8999996185303,0.43367998409271385,195.03467601709872,8.833333174387622,228,2.256399,48.863011,5.0,1,283.70001220703097,1,1,0
960,6508065,4.30000019073486,-0.4781599681854266,195.02291847137053,7.433333237965907,228,2.256159,48.863074,5.0,1,286.399993896484,1,1,0
961,6508065,4.30000019073486,0.0,195.0133416906231,7.166666666666673,228,2.256042,48.863083,5.0,1,287.79998779296903,1,1,0
962,6508065,8.89999961853027,0.1278799840927124,195.00922180854167,5.8333333333333295,228,2.256018,48.863064,10.0,1,284.70001220703097,1,1,0
963,6508065,11.8999996185303,0.1668000000000017,195.0103522236061,8.366666475931808,228,2.255635,48.863121,5.0,1,285.899993896484,1,1,0
