,latitude,longitude
0,48.983191,2.087224
1,48.982585,2.089394
2,48.982134,2.089035
3,48.981334000000004,2.088262
4,48.992470000000004,2.07976
5,48.992437,2.080303
6,48.983136,2.088309
7,48.9818,2.088446
8,48.98299,2.088611
9,48.846536,2.45145
10,48.845172999999996,2.4236459999999997
11,48.844172,2.424415
12,48.843703000000005,2.424627
13,48.849253999999995,2.4557740000000003
14,48.849404,2.457775
15,48.847522999999995,2.437003
16,48.847237,2.436893
17,48.844833,2.436755
18,48.845936,2.423092
19,48.844603,2.425333
20,48.844713,2.424786
21,48.845622999999996,2.4280169999999996
22,48.849168,2.459796
23,48.851557,2.4573810000000003
24,48.849829,2.456414
25,48.849636,2.46021
26,48.848646,2.459694
27,48.848387,2.459568
28,48.84785,2.4591830000000003
29,48.847074,2.458796
30,48.846137,2.4581310000000003
31,48.846133,2.457607
32,48.870709000000005,2.4419619999999997
33,48.8672,2.4423939999999997
34,48.865613,2.443132
35,48.863875,2.441879
36,48.8456,2.393129
37,48.845252,2.39248
38,48.857758000000004,2.433841
39,48.844389,2.410857
40,48.846233000000005,2.394456
41,48.844747999999996,2.392085
42,48.874487,2.440312
43,48.872483,2.440026
44,48.873740999999995,2.3651459999999997
45,48.87422,2.365675
46,48.874660999999996,2.367153
47,48.874784000000005,2.366723
48,48.864691,2.4399599999999997
49,48.874049,2.440433
50,48.873529,2.440299
51,48.872612,2.441785
52,48.846647999999995,2.415151
53,48.858236,2.436029
54,48.857832,2.4346650000000003
55,48.845873,2.393754
56,48.847678,2.3942099999999997
57,48.876385,2.441296
58,48.863056,2.440773
59,48.862584000000005,2.44026
60,48.862115,2.4403610000000002
61,48.864202,2.441422
62,48.859482,2.4650090000000002
63,48.937987,2.2564330000000004
64,48.936906,2.253217
65,48.936178000000005,2.251777
66,48.935819,2.248311
67,48.936403999999996,2.249245
68,48.93565,2.2516
69,48.935767999999996,2.2522830000000003
70,48.93593,2.253389
71,48.936494,2.252326
72,48.934835,2.249215
73,48.935451,2.252024
74,48.937604,2.253246
75,48.937474,2.2529689999999998
76,48.936847,2.257091
77,48.932088,2.27603
78,48.931661,2.280576
79,48.93022,2.281397
80,48.929691,2.281934
81,48.912658,2.288789
82,48.911145,2.290474
83,48.930363,2.2842759999999998
84,48.935565000000004,2.2534099999999997
85,48.937238,2.253603
86,48.931599,2.283207
87,48.930731,2.281168
88,48.923812,2.2600439999999997
89,48.924094000000004,2.24799
90,48.925652,2.247409
91,48.933278,2.294447
92,48.931467,2.287714
93,48.930956,2.286219
94,48.930717,2.285619
95,48.931339,2.287344
96,48.933506,2.295761
97,48.933296999999996,2.3073259999999998
98,48.933536,2.296231
99,48.930158,2.284592
100,48.925482,2.2485020000000002
101,48.931084999999996,2.280961
102,48.937157,2.3478470000000002
103,48.93234,2.282351
104,48.910368,2.291321
105,48.911775,2.289971
106,48.928608000000004,2.321745
107,48.928754999999995,2.353912
108,48.891059000000006,2.2390630000000002
109,48.890862,2.2398029999999998
